Id. Parada,Cod. Via / Cod. Vía,Num. Portal,Suprimida,Denominació / Denominación,Línies / Líneas,Proximas_llegadas,geo_shape,geo_point_2d,geometry,latitud,longitud,hora_descarga
1566.0,81575.0,35,0,Beniferri (1566),"62,63,99,N3",  La Malva-rosa - 6 min.   Est.del Nord - 8 min.   Est. del Nord - 11 min.   La Malva-rosa - 16 min.   Est.del Nord - 17 min.   Est. del Nord - 36 min.,"{""coordinates"": [-0.4000138296522475, 39.49077183864252], ""type"": ""Point""}","39.49077183864252, -0.4000138296522475",POINT (-0.4000138296522475 39.49077183864252),39.49077183864252,-0.4000138296522475,16:12:07
323.0,66330.0,168,0,Sagunt - Pare Urbà (323),"16,26,6",  Vinalesa - 2 min.   Moncada - 2 min.   Torrefiel - 10 min.   Vinalesa - 14 min.   Torrefiel - 19 min.   Moncada - 27 min.,"{""coordinates"": [-0.3750146568891615, 39.48882829404498], ""type"": ""Point""}","39.48882829404498, -0.3750146568891615",POINT (-0.3750146568891615 39.48882829404498),39.48882829404498,-0.3750146568891615,16:12:07
326.0,62610.0,85,0,Constitució - Xest (326),"16,26,6,N10",  Pta.de la Mar - 5 min.   Hosp. La Fe - 8 min.   Pta.de la Mar - 16 min.   Pta.de la mar - 18 min.   Hosp. La Fe - 19 min.   Pta.de la mar - 52 min.,"{""coordinates"": [-0.37599760734699206, 39.48931273580833], ""type"": ""Point""}","39.48931273580833, -0.37599760734699206",POINT (-0.3759976073469921 39.48931273580833),39.48931273580833,-0.37599760734699206,16:12:07
328.0,62610.0,27,0,Constitució - Màlaga (328),"16,26,6,N10",  Hosp. La Fe - Próximo   Pta.de la Mar - 7 min.   Hosp. La Fe - 10 min.   Pta.de la Mar - 18 min.   Pta.de la mar - 20 min.   Pta.de la mar - 54 min.,"{""coordinates"": [-0.37875933839996456, 39.485225490769935], ""type"": ""Point""}","39.485225490769935, -0.37875933839996456",POINT (-0.3787593383999646 39.48522549076993),39.485225490769935,-0.37875933839996456,16:12:07
353.0,24660.0,3,0,Dr. Nicasi Benlloch - Alcubles (353),"28,94",  Est.del Nord - 4 min.   Av. França - 10 min.   Est.del Nord - 12 min.   Av. França - 26 min.,"{""coordinates"": [-0.3885997530662514, 39.48723682292079], ""type"": ""Point""}","39.48723682292079, -0.3885997530662514",POINT (-0.3885997530662514 39.48723682292079),39.48723682292079,-0.3885997530662514,16:12:07
364.0,2400.0,19,0,Campanar - Ricardo Micó (364),"60,90",  C. Benlloch - 6 min.   Torrefiel - 9 min.   C. Benlloch - 16 min.   Torrefiel - 20 min.,"{""coordinates"": [-0.39068798371377594, 39.48589174893528], ""type"": ""Point""}","39.48589174893528, -0.39068798371377594",POINT (-0.3906879837137759 39.48589174893528),39.48589174893528,-0.39068798371377594,16:12:07
606.0,30210.0,BARDISSA CENTRAL,0,Parc Central (606),90,  La Fe - 7 min.   La Fe - 12 min.,"{""coordinates"": [-0.3764721523610052, 39.45790463610097], ""type"": ""Point""}","39.45790463610097, -0.3764721523610052",POINT (-0.3764721523610052 39.45790463610097),39.45790463610097,-0.3764721523610052,16:12:07
673.0,31740.0,99,0,Font d'en Corts (imparell) - Roig de lagarda (673),14,  Est.del Nord - 2 min.   Est.del Nord - 14 min.,"{""coordinates"": [-0.3582236503312717, 39.445669898708644], ""type"": ""Point""}","39.445669898708644, -0.3582236503312717",POINT (-0.3582236503312717 39.44566989870864),39.445669898708644,-0.3582236503312717,16:12:07
700.0,18390.0,S/N,0,Hospital General (700),"93,N4",  Pass. Marítim - 5 min.   Pass. Marítim - 12 min.,"{""coordinates"": [-0.40575275632065544, 39.46951159906982], ""type"": ""Point""}","39.46951159906982, -0.40575275632065544",POINT (-0.4057527563206554 39.46951159906982),39.46951159906982,-0.40575275632065544,16:12:07
1242.0,47580.0,32,0,Mediterrània - Dr. Lluch (1242),32,  Pass. Marítim - 11 min.   Pass. Marítim - 21 min.,"{""coordinates"": [-0.3285674711265837, 39.467571542526095], ""type"": ""Point""}","39.467571542526095, -0.3285674711265837",POINT (-0.3285674711265837 39.46757154252609),39.467571542526095,-0.3285674711265837,16:12:07
